Network Management Card AOS v6.4.6
RPDU 2g APP v6.4.6
NMC Serial Number: ZA1817026881

Model Number: AP8858EU3
RPDU Serial Number: ZA1818021379
Hardware Revision: 02
NMC BM Version: 1.0.8

Date     	Time     	Name	Contact	Location	System IP
02/21/2024	03:06:07	apc064272	Unknown	Unknown	192.168.255.40

		RPDU 1* (SN:ZA1818021379)   	   	   	   	   	   	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A
06/16/2021	22:16:32	0.23	0.23	9497.9	   	   	1.5	1.5	
06/16/2021	22:06:32	0.23	0.23	9497.8	   	   	1.5	1.5	
06/16/2021	21:56:32	0.23	0.23	9497.8	   	   	1.5	1.5	
06/16/2021	21:46:32	0.23	0.23	9497.7	   	   	1.5	1.5	
06/16/2021	21:36:32	0.23	0.23	9497.7	   	   	1.5	1.5	
06/16/2021	21:26:32	0.23	0.23	9497.7	   	   	1.5	1.5	
06/16/2021	21:16:32	0.23	0.23	9497.6	   	   	1.5	1.5	
06/16/2021	21:06:32	0.23	0.23	9497.6	   	   	1.5	1.5	
06/16/2021	20:56:32	0.23	0.23	9497.6	   	   	1.5	1.5	
06/16/2021	20:46:32	0.23	0.23	9497.5	   	   	1.5	1.5	
06/16/2021	20:36:32	0.23	0.23	9497.5	   	   	1.5	1.5	
06/16/2021	20:26:32	0.23	0.23	9497.4	   	   	1.5	1.5	
06/16/2021	20:16:32	0.23	0.23	9497.4	   	   	1.5	1.5	
06/16/2021	20:06:31	0.23	0.23	9497.4	   	   	1.5	1.5	
06/16/2021	19:56:31	0.23	0.23	9497.3	   	   	1.5	1.5	
06/16/2021	19:46:31	0.23	0.23	9497.3	   	   	1.5	1.5	
06/16/2021	19:36:31	0.23	0.23	9497.3	   	   	1.5	1.5	
06/16/2021	19:26:31	0.23	0.23	9497.2	   	   	1.5	1.5	
06/16/2021	19:16:31	0.23	0.23	9497.2	   	   	1.5	1.5	
06/16/2021	19:06:31	0.21	0.23	9497.2	   	   	1.4	1.5	
06/16/2021	18:56:31	0.21	0.23	9497.1	   	   	1.4	1.5	
06/16/2021	18:46:31	0.23	0.23	9497.1	   	   	1.5	1.5	
06/16/2021	18:36:31	0.23	0.23	9497.0	   	   	1.5	1.5	
06/16/2021	18:26:31	0.23	0.23	9497.0	   	   	1.5	1.5	
06/16/2021	18:16:31	0.23	0.23	9497.0	   	   	1.5	1.5	
06/16/2021	18:06:31	0.23	0.23	9496.9	   	   	1.5	1.5	
06/16/2021	17:56:31	0.23	0.23	9496.9	   	   	1.5	1.5	
06/16/2021	17:46:31	0.21	0.23	9496.9	   	   	1.4	1.5	
06/16/2021	17:36:31	0.21	0.23	9496.8	   	   	1.4	1.5	
06/16/2021	17:26:31	0.23	0.23	9496.8	   	   	1.5	1.5	
06/16/2021	17:16:31	0.23	0.23	9496.7	   	   	1.5	1.5	
06/16/2021	17:06:31	0.23	0.23	9496.7	   	   	1.5	1.5	
06/16/2021	16:56:31	0.23	0.23	9496.7	   	   	1.5	1.5	
06/16/2021	16:46:31	0.23	0.23	9496.6	   	   	1.5	1.5	
06/16/2021	16:36:31	0.21	0.23	9496.6	   	   	1.4	1.5	
06/16/2021	16:26:31	0.21	0.23	9496.6	   	   	1.4	1.5	
06/16/2021	16:16:30	0.21	0.23	9496.5	   	   	1.4	1.5	
06/16/2021	16:06:30	0.23	0.23	9496.5	   	   	1.5	1.5	
06/16/2021	15:56:30	0.23	0.23	9496.5	   	   	1.5	1.5	
06/16/2021	15:46:30	0.23	0.23	9496.4	   	   	1.5	1.5	
06/16/2021	15:36:30	0.23	0.23	9496.4	   	   	1.5	1.5	
06/16/2021	15:26:30	0.23	0.23	9496.3	   	   	1.5	1.5	
06/16/2021	15:16:30	0.23	0.23	9496.3	   	   	1.5	1.5	
06/16/2021	15:06:30	0.21	0.23	9496.3	   	   	1.4	1.5	
06/16/2021	14:56:30	0.21	0.23	9496.2	   	   	1.4	1.5	
06/16/2021	14:46:30	0.23	0.23	9496.2	   	   	1.5	1.5	
06/16/2021	14:36:30	0.23	0.23	9496.2	   	   	1.5	1.5	
06/16/2021	14:26:30	0.23	0.23	9496.1	   	   	1.5	1.5	
06/16/2021	14:16:30	0.23	0.23	9496.1	   	   	1.5	1.5	
06/16/2021	14:06:30	0.23	0.23	9496.0	   	   	1.5	1.5	
06/16/2021	13:56:30	0.21	0.23	9496.0	   	   	1.4	1.5	
06/16/2021	13:46:30	0.21	0.23	9496.0	   	   	1.4	1.5	
06/16/2021	13:36:30	0.23	0.23	9495.9	   	   	1.5	1.5	
06/16/2021	13:26:30	0.23	0.23	9495.9	   	   	1.5	1.5	
06/16/2021	13:16:30	0.23	0.23	9495.9	   	   	1.5	1.5	
06/16/2021	13:06:30	0.23	0.23	9495.8	   	   	1.5	1.5	
06/16/2021	12:56:30	0.23	0.23	9495.8	   	   	1.5	1.5	
06/16/2021	12:46:30	0.21	0.23	9495.8	   	   	1.4	1.5	
06/16/2021	12:36:30	0.23	0.23	9495.7	   	   	1.5	1.5	
06/16/2021	12:26:30	0.23	0.23	9495.7	   	   	1.5	1.5	
06/16/2021	12:16:30	0.23	0.23	9495.6	   	   	1.5	1.5	
06/16/2021	12:06:30	0.23	0.23	9495.6	   	   	1.5	1.5	
06/16/2021	11:56:30	0.23	0.23	9495.6	   	   	1.5	1.5	
06/16/2021	11:46:30	0.23	0.23	9495.5	   	   	1.5	1.5	
06/16/2021	11:36:30	0.23	0.23	9495.5	   	   	1.5	1.5	
06/16/2021	11:26:29	0.23	0.23	9495.5	   	   	1.5	1.5	
06/16/2021	11:16:29	0.23	0.23	9495.4	   	   	1.5	1.5	
06/16/2021	11:06:29	0.23	0.23	9495.4	   	   	1.5	1.5	
06/16/2021	10:56:29	0.23	0.23	9495.3	   	   	1.5	1.5	
06/16/2021	10:46:29	0.23	0.23	9495.3	   	   	1.5	1.5	
06/16/2021	10:36:29	0.23	0.23	9495.3	   	   	1.5	1.5	
06/16/2021	10:26:29	0.23	0.23	9495.2	   	   	1.5	1.5	
06/16/2021	10:16:29	0.23	0.23	9495.2	   	   	1.5	1.5	
06/16/2021	10:06:29	0.23	0.23	9495.2	   	   	1.5	1.5	
06/16/2021	09:56:29	0.23	0.23	9495.1	   	   	1.5	1.5	
06/16/2021	09:46:29	0.23	0.23	9495.1	   	   	1.5	1.5	
06/16/2021	09:36:29	0.23	0.23	9495.1	   	   	1.5	1.5	
06/16/2021	09:26:29	0.23	0.23	9495.0	   	   	1.5	1.5	
06/16/2021	09:16:29	0.23	0.23	9495.0	   	   	1.5	1.5	
06/16/2021	09:06:29	0.23	0.23	9494.9	   	   	1.5	1.5	
06/16/2021	08:56:29	0.23	0.23	9494.9	   	   	1.5	1.5	
06/16/2021	08:46:29	0.23	0.23	9494.9	   	   	1.5	1.5	
06/16/2021	08:36:29	0.23	0.23	9494.8	   	   	1.5	1.5	
06/16/2021	08:26:29	0.23	0.23	9494.8	   	   	1.5	1.5	
06/16/2021	08:16:29	0.23	0.23	9494.8	   	   	1.5	1.5	
06/16/2021	08:06:29	0.23	0.23	9494.7	   	   	1.5	1.5	
06/16/2021	07:56:29	0.23	0.23	9494.7	   	   	1.5	1.5	
06/16/2021	07:46:29	0.23	0.23	9494.6	   	   	1.5	1.5	
06/16/2021	07:36:29	0.23	0.23	9494.6	   	   	1.5	1.5	
06/16/2021	07:26:29	0.23	0.23	9494.6	   	   	1.5	1.5	
06/16/2021	07:16:29	0.23	0.23	9494.5	   	   	1.5	1.5	
06/16/2021	07:06:29	0.23	0.23	9494.5	   	   	1.5	1.5	
06/16/2021	06:56:29	0.23	0.23	9494.5	   	   	1.5	1.5	
06/16/2021	06:46:28	0.23	0.23	9494.4	   	   	1.5	1.5	
06/16/2021	06:36:28	0.23	0.23	9494.4	   	   	1.5	1.5	
06/16/2021	06:26:28	0.23	0.23	9494.4	   	   	1.5	1.5	
06/16/2021	06:16:28	0.23	0.23	9494.3	   	   	1.5	1.5	
06/16/2021	06:06:28	0.23	0.23	9494.3	   	   	1.5	1.5	
06/16/2021	05:56:28	0.23	0.23	9494.2	   	   	1.5	1.5	
06/16/2021	05:46:28	0.23	0.23	9494.2	   	   	1.5	1.5	
06/16/2021	05:36:28	0.23	0.23	9494.2	   	   	1.5	1.5	
06/16/2021	05:26:28	0.23	0.23	9494.1	   	   	1.5	1.5	
06/16/2021	05:16:28	0.23	0.23	9494.1	   	   	1.5	1.5	
06/16/2021	05:06:28	0.23	0.23	9494.1	   	   	1.5	1.5	
06/16/2021	04:56:28	0.23	0.23	9494.0	   	   	1.5	1.5	
06/16/2021	04:46:28	0.23	0.23	9494.0	   	   	1.5	1.5	
06/16/2021	04:36:28	0.23	0.23	9493.9	   	   	1.5	1.5	
06/16/2021	04:26:28	0.23	0.23	9493.9	   	   	1.5	1.5	
06/16/2021	04:16:28	0.23	0.23	9493.9	   	   	1.5	1.5	
06/16/2021	04:06:28	0.23	0.23	9493.8	   	   	1.5	1.5	
06/16/2021	03:56:28	0.23	0.23	9493.8	   	   	1.5	1.5	
06/16/2021	03:46:28	0.23	0.23	9493.8	   	   	1.5	1.5	
06/16/2021	03:36:28	0.23	0.23	9493.7	   	   	1.5	1.5	
06/16/2021	03:26:28	0.23	0.23	9493.7	   	   	1.5	1.5	
06/16/2021	03:16:28	0.22	0.23	9493.6	   	   	1.5	1.5	
06/16/2021	03:06:28	0.23	0.23	9493.6	   	   	1.5	1.5	
06/16/2021	02:56:27	0.23	0.23	9493.6	   	   	1.5	1.5	
06/16/2021	02:46:27	0.23	0.23	9493.5	   	   	1.5	1.5	
06/16/2021	02:36:27	0.23	0.23	9493.5	   	   	1.5	1.5	
06/16/2021	02:26:27	0.23	0.23	9493.5	   	   	1.5	1.5	
06/16/2021	02:16:27	0.23	0.23	9493.4	   	   	1.5	1.5	
06/16/2021	02:06:27	0.23	0.23	9493.4	   	   	1.5	1.5	
06/16/2021	01:56:27	0.23	0.23	9493.3	   	   	1.5	1.5	
06/16/2021	01:46:27	0.23	0.23	9493.3	   	   	1.5	1.5	
06/16/2021	01:36:27	0.23	0.23	9493.3	   	   	1.5	1.5	
06/16/2021	01:26:27	0.23	0.23	9493.2	   	   	1.5	1.5	
06/16/2021	01:16:27	0.23	0.23	9493.2	   	   	1.5	1.5	
06/16/2021	01:06:27	0.23	0.23	9493.2	   	   	1.5	1.5	
06/16/2021	00:56:27	0.23	0.23	9493.1	   	   	1.5	1.5	
06/16/2021	00:46:27	0.23	0.23	9493.1	   	   	1.5	1.5	
06/16/2021	00:36:27	0.23	0.23	9493.1	   	   	1.5	1.5	
06/16/2021	00:26:27	0.22	0.23	9493.0	   	   	1.5	1.5	
06/16/2021	00:16:27	0.23	0.23	9493.0	   	   	1.5	1.5	
06/16/2021	00:06:27	0.23	0.23	9492.9	   	   	1.5	1.5	
06/15/2021	23:56:27	0.23	0.23	9492.9	   	   	1.5	1.5	
06/15/2021	23:46:27	0.23	0.23	9492.9	   	   	1.5	1.5	
06/15/2021	23:36:27	0.23	0.23	9492.8	   	   	1.5	1.5	
06/15/2021	23:26:27	0.23	0.23	9492.8	   	   	1.5	1.5	
06/15/2021	23:16:27	0.23	0.23	9492.8	   	   	1.5	1.5	
06/15/2021	23:06:27	0.23	0.23	9492.7	   	   	1.5	1.5	
06/15/2021	22:56:27	0.22	0.23	9492.7	   	   	1.5	1.5	
06/15/2021	22:46:27	0.23	0.23	9492.6	   	   	1.5	1.5	
06/15/2021	22:36:27	0.23	0.23	9492.6	   	   	1.5	1.5	
06/15/2021	22:26:27	0.23	0.23	9492.6	   	   	1.5	1.5	
06/15/2021	22:16:26	0.23	0.23	9492.5	   	   	1.5	1.5	
06/15/2021	22:06:26	0.23	0.23	9492.5	   	   	1.5	1.5	
06/15/2021	21:56:26	0.23	0.23	9492.5	   	   	1.5	1.5	
06/15/2021	21:46:26	0.22	0.23	9492.4	   	   	1.5	1.5	
06/15/2021	21:36:26	0.23	0.23	9492.4	   	   	1.5	1.5	
06/15/2021	21:26:26	0.23	0.23	9492.3	   	   	1.5	1.5	
06/15/2021	21:16:26	0.23	0.23	9492.3	   	   	1.5	1.5	
06/15/2021	21:06:26	0.23	0.23	9492.3	   	   	1.5	1.5	
06/15/2021	20:56:26	0.23	0.23	9492.2	   	   	1.5	1.5	
06/15/2021	20:46:26	0.23	0.23	9492.2	   	   	1.5	1.5	
06/15/2021	20:36:26	0.23	0.23	9492.2	   	   	1.5	1.5	
06/15/2021	20:26:26	0.23	0.23	9492.1	   	   	1.5	1.5	
06/15/2021	20:16:26	0.23	0.23	9492.1	   	   	1.5	1.5	
06/15/2021	20:06:26	0.23	0.23	9492.1	   	   	1.5	1.5	
06/15/2021	19:56:26	0.23	0.23	9492.0	   	   	1.5	1.5	
06/15/2021	19:46:26	0.23	0.23	9492.0	   	   	1.5	1.5	
06/15/2021	19:36:26	0.23	0.23	9491.9	   	   	1.5	1.5	
06/15/2021	19:26:26	0.23	0.23	9491.9	   	   	1.5	1.5	
06/15/2021	19:16:26	0.23	0.23	9491.9	   	   	1.5	1.5	
06/15/2021	19:06:26	0.23	0.23	9491.8	   	   	1.5	1.5	
06/15/2021	18:56:26	0.23	0.23	9491.8	   	   	1.5	1.5	
06/15/2021	18:46:26	0.23	0.23	9491.8	   	   	1.5	1.5	
06/15/2021	18:36:26	0.23	0.23	9491.7	   	   	1.5	1.5	
06/15/2021	18:26:26	0.23	0.23	9491.7	   	   	1.5	1.5	
06/15/2021	18:16:26	0.23	0.23	9491.6	   	   	1.5	1.5	
06/15/2021	18:06:26	0.23	0.23	9491.6	   	   	1.5	1.5	
06/15/2021	17:56:26	0.23	0.23	9491.6	   	   	1.5	1.5	
06/15/2021	17:46:26	0.23	0.23	9491.5	   	   	1.5	1.5	
06/15/2021	17:36:25	0.23	0.23	9491.5	   	   	1.5	1.5	
06/15/2021	17:26:25	0.23	0.23	9491.5	   	   	1.5	1.5	
06/15/2021	17:16:25	0.23	0.23	9491.4	   	   	1.5	1.5	
06/15/2021	17:06:25	0.23	0.23	9491.4	   	   	1.5	1.5	
06/15/2021	16:56:25	0.23	0.23	9491.3	   	   	1.5	1.5	
06/15/2021	16:46:25	0.23	0.23	9491.3	   	   	1.5	1.5	
06/15/2021	16:36:25	0.21	0.23	9491.3	   	   	1.4	1.5	
06/15/2021	16:26:25	0.23	0.23	9491.2	   	   	1.5	1.5	
06/15/2021	16:16:25	0.23	0.23	9491.2	   	   	1.5	1.5	
06/15/2021	16:06:25	0.23	0.23	9491.2	   	   	1.5	1.5	
06/15/2021	15:56:25	0.23	0.23	9491.1	   	   	1.5	1.5	
06/15/2021	15:46:25	0.23	0.23	9491.1	   	   	1.5	1.5	
06/15/2021	15:36:25	0.23	0.23	9491.1	   	   	1.5	1.5	
06/15/2021	15:26:25	0.23	0.23	9491.0	   	   	1.5	1.5	
06/15/2021	15:16:25	0.23	0.23	9491.0	   	   	1.5	1.5	
06/15/2021	15:06:25	0.23	0.23	9490.9	   	   	1.5	1.5	
06/15/2021	14:56:25	0.23	0.23	9490.9	   	   	1.5	1.5	
06/15/2021	14:46:25	0.23	0.23	9490.9	   	   	1.5	1.5	
06/15/2021	14:36:25	0.23	0.23	9490.8	   	   	1.5	1.5	
06/15/2021	14:26:25	0.23	0.23	9490.8	   	   	1.5	1.5	
06/15/2021	14:16:25	0.23	0.23	9490.8	   	   	1.5	1.5	
06/15/2021	14:06:25	0.23	0.23	9490.7	   	   	1.5	1.5	
06/15/2021	13:56:25	0.23	0.23	9490.7	   	   	1.5	1.5	
06/15/2021	13:46:25	0.23	0.23	9490.6	   	   	1.5	1.5	
06/15/2021	13:36:25	0.23	0.23	9490.6	   	   	1.5	1.5	
06/15/2021	13:26:25	0.23	0.23	9490.6	   	   	1.5	1.5	
06/15/2021	13:16:25	0.23	0.23	9490.5	   	   	1.5	1.5	
06/15/2021	13:06:25	0.23	0.23	9490.5	   	   	1.5	1.5	
06/15/2021	12:56:24	0.21	0.23	9490.5	   	   	1.4	1.5	
06/15/2021	12:46:24	0.21	0.23	9490.4	   	   	1.4	1.5	
06/15/2021	12:36:24	0.23	0.23	9490.4	   	   	1.5	1.5	
06/15/2021	12:26:24	0.23	0.23	9490.4	   	   	1.5	1.5	
06/15/2021	12:16:24	0.23	0.23	9490.3	   	   	1.5	1.5	
06/15/2021	12:06:24	0.23	0.23	9490.3	   	   	1.5	1.5	
06/15/2021	11:56:24	0.23	0.23	9490.2	   	   	1.5	1.5	
06/15/2021	11:46:24	0.21	0.23	9490.2	   	   	1.4	1.5	
06/15/2021	11:36:24	0.21	0.23	9490.2	   	   	1.4	1.5	
06/15/2021	11:26:24	0.21	0.23	9490.1	   	   	1.4	1.5	
06/15/2021	11:16:24	0.23	0.23	9490.1	   	   	1.5	1.5	
06/15/2021	11:06:24	0.21	0.23	9490.1	   	   	1.4	1.5	
06/15/2021	10:56:24	0.23	0.23	9490.0	   	   	1.5	1.5	
06/15/2021	10:46:24	0.23	0.23	9490.0	   	   	1.5	1.5	
06/15/2021	10:36:24	0.23	0.23	9489.9	   	   	1.5	1.5	
06/15/2021	10:26:24	0.23	0.23	9489.9	   	   	1.5	1.5	
06/15/2021	10:16:24	0.23	0.23	9489.9	   	   	1.5	1.5	
06/15/2021	10:06:24	0.23	0.23	9489.8	   	   	1.5	1.5	
06/15/2021	09:56:24	0.23	0.23	9489.8	   	   	1.5	1.5	
06/15/2021	09:46:24	0.23	0.23	9489.8	   	   	1.5	1.5	
06/15/2021	09:36:24	0.21	0.23	9489.7	   	   	1.4	1.5	
06/15/2021	09:26:24	0.23	0.23	9489.7	   	   	1.5	1.5	
06/15/2021	09:16:24	0.21	0.23	9489.7	   	   	1.4	1.5	
06/15/2021	09:06:24	0.23	0.23	9489.6	   	   	1.5	1.5	
06/15/2021	08:56:24	0.23	0.23	9489.6	   	   	1.5	1.5	
06/15/2021	08:46:24	0.23	0.23	9489.5	   	   	1.5	1.5	
06/15/2021	08:36:24	0.23	0.23	9489.5	   	   	1.5	1.5	
06/15/2021	08:26:24	0.23	0.23	9489.5	   	   	1.5	1.5	
06/15/2021	08:16:23	0.23	0.23	9489.4	   	   	1.5	1.5	
06/15/2021	08:06:23	0.23	0.23	9489.4	   	   	1.5	1.5	
06/15/2021	07:56:23	0.23	0.23	9489.4	   	   	1.5	1.5	
06/15/2021	07:46:23	0.21	0.23	9489.3	   	   	1.4	1.5	
06/15/2021	07:36:23	0.23	0.23	9489.3	   	   	1.5	1.5	
06/15/2021	07:26:23	0.21	0.23	9489.2	   	   	1.4	1.5	
06/15/2021	07:16:23	0.21	0.23	9489.2	   	   	1.4	1.5	
06/15/2021	07:06:23	0.23	0.23	9489.2	   	   	1.5	1.5	
06/15/2021	06:56:23	0.23	0.23	9489.1	   	   	1.5	1.5	
06/15/2021	06:46:23	0.23	0.23	9489.1	   	   	1.5	1.5	
06/15/2021	06:36:23	0.23	0.23	9489.1	   	   	1.5	1.5	
06/15/2021	06:26:23	0.23	0.23	9489.0	   	   	1.5	1.5	
06/15/2021	06:16:23	0.23	0.23	9489.0	   	   	1.5	1.5	
06/15/2021	06:06:23	0.23	0.23	9489.0	   	   	1.5	1.5	
06/15/2021	05:56:23	0.23	0.23	9488.9	   	   	1.5	1.5	
06/15/2021	05:46:23	0.23	0.23	9488.9	   	   	1.5	1.5	
06/15/2021	05:36:23	0.23	0.23	9488.8	   	   	1.5	1.5	
06/15/2021	05:26:23	0.23	0.23	9488.8	   	   	1.5	1.5	
06/15/2021	05:16:23	0.23	0.23	9488.8	   	   	1.5	1.5	
06/15/2021	05:06:23	0.23	0.23	9488.7	   	   	1.5	1.5	
06/15/2021	04:56:23	0.23	0.23	9488.7	   	   	1.5	1.5	
06/15/2021	04:46:23	0.23	0.23	9488.7	   	   	1.5	1.5	
06/15/2021	04:36:23	0.23	0.23	9488.6	   	   	1.5	1.5	
06/15/2021	04:26:23	0.23	0.23	9488.6	   	   	1.5	1.5	
06/15/2021	04:16:23	0.23	0.23	9488.5	   	   	1.5	1.5	
06/15/2021	04:06:23	0.23	0.23	9488.5	   	   	1.5	1.5	
06/15/2021	03:56:23	0.23	0.23	9488.5	   	   	1.5	1.5	
06/15/2021	03:46:23	0.23	0.23	9488.4	   	   	1.5	1.5	
06/15/2021	03:36:22	0.23	0.23	9488.4	   	   	1.5	1.5	
06/15/2021	03:26:22	0.23	0.23	9488.4	   	   	1.5	1.5	
06/15/2021	03:16:22	0.23	0.23	9488.3	   	   	1.5	1.5	
06/15/2021	03:06:22	0.23	0.23	9488.3	   	   	1.5	1.5	
06/15/2021	02:56:22	0.23	0.23	9488.3	   	   	1.5	1.5	
06/15/2021	02:46:22	0.23	0.23	9488.2	   	   	1.5	1.5	
06/15/2021	02:36:22	0.23	0.23	9488.2	   	   	1.5	1.5	
06/15/2021	02:26:22	0.23	0.23	9488.1	   	   	1.5	1.5	
06/15/2021	02:16:22	0.23	0.23	9488.1	   	   	1.5	1.5	
06/15/2021	02:06:22	0.23	0.23	9488.1	   	   	1.5	1.5	
06/15/2021	01:56:22	0.23	0.23	9488.0	   	   	1.5	1.5	
06/15/2021	01:46:22	0.23	0.23	9488.0	   	   	1.5	1.5	
06/15/2021	01:36:22	0.23	0.23	9488.0	   	   	1.5	1.5	
06/15/2021	01:26:22	0.23	0.23	9487.9	   	   	1.5	1.5	
06/15/2021	01:16:22	0.23	0.23	9487.9	   	   	1.5	1.5	
06/15/2021	01:06:22	0.23	0.23	9487.8	   	   	1.5	1.5	
06/15/2021	00:56:22	0.23	0.23	9487.8	   	   	1.5	1.5	
06/15/2021	00:46:22	0.23	0.23	9487.8	   	   	1.5	1.5	
06/15/2021	00:36:22	0.23	0.23	9487.7	   	   	1.5	1.5	
06/15/2021	00:26:22	0.23	0.23	9487.7	   	   	1.5	1.5	
06/15/2021	00:16:22	0.21	0.23	9487.7	   	   	1.4	1.5	
06/15/2021	00:06:22	0.23	0.23	9487.6	   	   	1.5	1.5	
06/14/2021	23:56:22	0.23	0.23	9487.6	   	   	1.5	1.5	
06/14/2021	23:46:22	0.23	0.23	9487.6	   	   	1.5	1.5	
06/14/2021	23:36:22	0.23	0.23	9487.5	   	   	1.5	1.5	
06/14/2021	23:26:22	0.23	0.23	9487.5	   	   	1.5	1.5	
06/14/2021	23:16:22	0.23	0.23	9487.4	   	   	1.5	1.5	
06/14/2021	23:06:21	0.23	0.23	9487.4	   	   	1.5	1.5	
06/14/2021	22:56:21	0.23	0.23	9487.4	   	   	1.5	1.5	
06/14/2021	22:46:21	0.23	0.23	9487.3	   	   	1.5	1.5	
06/14/2021	22:36:21	0.23	0.23	9487.3	   	   	1.5	1.5	
06/14/2021	22:26:21	0.21	0.23	9487.3	   	   	1.4	1.5	
06/14/2021	22:16:21	0.21	0.23	9487.2	   	   	1.4	1.5	
06/14/2021	22:06:21	0.23	0.23	9487.2	   	   	1.5	1.5	
06/14/2021	21:56:21	0.21	0.23	9487.1	   	   	1.4	1.5	
06/14/2021	21:46:21	0.21	0.23	9487.1	   	   	1.4	1.5	
06/14/2021	21:36:21	0.23	0.23	9487.1	   	   	1.5	1.5	
06/14/2021	21:26:21	0.23	0.23	9487.0	   	   	1.5	1.5	
06/14/2021	21:16:21	0.23	0.23	9487.0	   	   	1.5	1.5	
06/14/2021	21:06:21	0.23	0.23	9487.0	   	   	1.5	1.5	
06/14/2021	20:56:21	0.23	0.23	9486.9	   	   	1.5	1.5	
06/14/2021	20:46:21	0.23	0.23	9486.9	   	   	1.5	1.5	
06/14/2021	20:36:21	0.23	0.23	9486.9	   	   	1.5	1.5	
06/14/2021	20:26:21	0.23	0.23	9486.8	   	   	1.5	1.5	
06/14/2021	20:16:21	0.23	0.23	9486.8	   	   	1.5	1.5	
06/14/2021	20:06:21	0.23	0.23	9486.7	   	   	1.5	1.5	
06/14/2021	19:56:21	0.21	0.23	9486.7	   	   	1.4	1.5	
06/14/2021	19:46:21	0.23	0.23	9486.7	   	   	1.5	1.5	
06/14/2021	19:36:21	0.23	0.23	9486.6	   	   	1.5	1.5	
06/14/2021	19:26:21	0.23	0.23	9486.6	   	   	1.5	1.5	
06/14/2021	19:16:21	0.23	0.23	9486.6	   	   	1.5	1.5	
06/14/2021	19:06:21	0.23	0.23	9486.5	   	   	1.5	1.5	
06/14/2021	18:56:21	0.23	0.23	9486.5	   	   	1.5	1.5	
06/14/2021	18:46:21	0.23	0.23	9486.4	   	   	1.5	1.5	
06/14/2021	18:36:21	0.23	0.23	9486.4	   	   	1.5	1.5	
06/14/2021	18:26:20	0.23	0.23	9486.4	   	   	1.5	1.5	
06/14/2021	18:16:20	0.21	0.23	9486.3	   	   	1.4	1.5	
06/14/2021	18:06:20	0.23	0.23	9486.3	   	   	1.5	1.5	
06/14/2021	17:56:20	0.23	0.23	9486.3	   	   	1.5	1.5	
06/14/2021	17:46:20	0.23	0.23	9486.2	   	   	1.5	1.5	
06/14/2021	17:36:20	0.23	0.23	9486.2	   	   	1.5	1.5	
06/14/2021	17:26:20	0.23	0.23	9486.2	   	   	1.5	1.5	
06/14/2021	17:16:20	0.23	0.23	9486.1	   	   	1.5	1.5	
06/14/2021	17:06:20	0.23	0.23	9486.1	   	   	1.5	1.5	
06/14/2021	16:56:20	0.23	0.23	9486.0	   	   	1.5	1.5	
06/14/2021	16:46:20	0.21	0.23	9486.0	   	   	1.4	1.5	
06/14/2021	16:36:20	0.21	0.23	9486.0	   	   	1.4	1.5	
06/14/2021	16:26:20	0.23	0.23	9485.9	   	   	1.5	1.5	
06/14/2021	16:16:20	0.23	0.23	9485.9	   	   	1.5	1.5	
06/14/2021	16:06:20	0.23	0.23	9485.9	   	   	1.5	1.5	
06/14/2021	15:56:20	0.23	0.23	9485.8	   	   	1.5	1.5	
06/14/2021	15:46:20	0.23	0.23	9485.8	   	   	1.5	1.5	
06/14/2021	15:36:20	0.23	0.23	9485.7	   	   	1.5	1.5	
06/14/2021	15:26:20	0.23	0.23	9485.7	   	   	1.5	1.5	
06/14/2021	15:16:20	0.21	0.23	9485.7	   	   	1.4	1.5	
06/14/2021	15:06:20	0.21	0.23	9485.6	   	   	1.4	1.5	
06/14/2021	14:56:20	0.21	0.23	9485.6	   	   	1.4	1.5	
06/14/2021	14:46:20	0.23	0.23	9485.6	   	   	1.5	1.5	
06/14/2021	14:36:20	0.23	0.23	9485.5	   	   	1.5	1.5	
06/14/2021	14:26:20	0.23	0.23	9485.5	   	   	1.5	1.5	
06/14/2021	14:16:20	0.23	0.23	9485.4	   	   	1.5	1.5	
06/14/2021	14:06:20	0.23	0.23	9485.4	   	   	1.5	1.5	
06/14/2021	13:56:19	0.23	0.23	9485.4	   	   	1.5	1.5	
06/14/2021	13:46:19	0.23	0.23	9485.3	   	   	1.5	1.5	
06/14/2021	13:36:19	0.21	0.23	9485.3	   	   	1.4	1.5	
06/14/2021	13:26:19	0.21	0.23	9485.3	   	   	1.4	1.5	
06/14/2021	13:16:19	0.23	0.23	9485.2	   	   	1.5	1.5	
06/14/2021	13:06:19	0.23	0.23	9485.2	   	   	1.5	1.5	
06/14/2021	12:56:19	0.23	0.23	9485.2	   	   	1.5	1.5	
06/14/2021	12:46:19	0.23	0.23	9485.1	   	   	1.5	1.5	
06/14/2021	12:36:19	0.23	0.23	9485.1	   	   	1.5	1.5	
06/14/2021	12:26:19	0.23	0.23	9485.0	   	   	1.5	1.5	
06/14/2021	12:16:19	0.23	0.23	9485.0	   	   	1.5	1.5	
06/14/2021	12:06:19	0.21	0.23	9485.0	   	   	1.4	1.5	
06/14/2021	11:56:19	0.23	0.23	9484.9	   	   	1.5	1.5	
06/14/2021	11:46:19	0.23	0.23	9484.9	   	   	1.5	1.5	
